created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2019-08-21 13:52:37 UTC,1,,,85.00000,,,,
2019-08-21 13:52:53 UTC,2,388,,,,,,
2019-08-21 13:53:09 UTC,3,,,82.00000,,,,
2019-08-21 13:53:25 UTC,4,,20.00000,,,,,
2019-08-21 13:53:40 UTC,5,387,,,,,,
2019-08-21 13:53:56 UTC,6,387,,,,,,
2019-08-21 13:54:12 UTC,7,,20.00000,,,,,
2019-08-21 13:54:28 UTC,8,,,85.00000,,,,
2019-08-21 13:54:43 UTC,9,386,,,,,,
2019-08-21 13:54:59 UTC,10,387,,,,,,
2019-08-21 13:55:15 UTC,11,,,82.00000,,,,
2019-08-21 13:55:30 UTC,12,,19.00000,,,,,
2019-08-21 13:55:46 UTC,13,,,79.00000,,,,
2019-08-21 13:56:02 UTC,14,,19.00000,,,,,
2019-08-21 13:56:17 UTC,15,385,,,,,,
2019-08-21 13:56:32 UTC,16,,,86.00000,,,,
2019-08-21 13:56:48 UTC,17,,19.00000,,,,,
2019-08-21 13:57:03 UTC,18,384,,,,,,
2019-08-21 13:57:19 UTC,19,,,88.00000,,,,
2019-08-21 14:45:51 UTC,20,,,69.00000,,,,
2019-08-21 14:46:07 UTC,21,393,,,,,,
2019-08-21 14:46:22 UTC,22,,21.00000,,,,,
2019-08-21 14:46:38 UTC,23,,21.00000,,,,,
2019-08-21 14:46:54 UTC,24,,21.00000,,,,,
2019-08-21 14:47:09 UTC,25,394,,,,,,
2019-08-21 14:47:25 UTC,26,394,,,,,,
2019-08-21 14:47:40 UTC,27,,,79.00000,,,,
2019-08-21 14:47:55 UTC,28,,,82.00000,,,,
2019-08-21 14:48:11 UTC,29,,,80.00000,,,,
2019-08-21 14:48:27 UTC,30,,,83.00000,,,,
2019-08-21 14:48:43 UTC,31,,,85.00000,,,,
2019-08-21 14:48:58 UTC,32,,,86.00000,,,,
2019-08-21 14:49:14 UTC,33,396,,,,,,
2019-08-21 14:49:30 UTC,34,396,,,,,,
2019-08-21 14:49:45 UTC,35,396,,,,,,
2019-08-21 14:50:01 UTC,36,,19.00000,,,,,
2019-08-21 14:50:17 UTC,37,,20.00000,,,,,
2019-08-21 14:50:32 UTC,38,,21.00000,,,,,
2019-08-21 14:50:47 UTC,39,,20.00000,,,,,
2019-08-21 14:51:03 UTC,40,,20.00000,,,,,
2019-08-21 14:51:18 UTC,41,,20.00000,,,,,
2019-08-21 14:51:34 UTC,42,,20.00000,,,,,
2019-08-21 14:51:49 UTC,43,,20.00000,,,,,
2019-08-21 14:52:05 UTC,44,,20.00000,,,,,
2019-08-21 14:52:21 UTC,45,,20.00000,,,,,
2019-08-21 14:52:37 UTC,46,,20.00000,,,,,
2019-08-21 14:52:52 UTC,47,,20.00000,,,,,
2019-08-21 14:53:08 UTC,48,,20.00000,,,,,
2019-08-21 14:53:23 UTC,49,394,,,,,,
2019-08-21 14:53:38 UTC,50,396,,,,,,
2019-08-21 14:53:53 UTC,51,,,84.00000,,,,
2019-08-21 14:54:09 UTC,52,,,84.00000,,,,
2019-08-21 14:54:25 UTC,53,,,85.00000,,,,
2019-08-21 14:54:40 UTC,54,,19.00000,,,,,
2019-08-21 14:54:55 UTC,55,394,,,,,,
2019-08-21 14:55:10 UTC,56,,19.00000,,,,,
2019-08-21 14:55:25 UTC,57,,19.00000,,,,,
2019-08-21 14:55:41 UTC,58,,19.00000,,,,,
2019-08-21 14:55:57 UTC,59,,19.00000,,,,,
2019-08-21 14:56:12 UTC,60,,20.00000,,,,,
2019-08-21 14:56:28 UTC,61,,20.00000,,,,,
2019-08-21 14:56:43 UTC,62,396,,,,,,
2019-08-21 14:56:58 UTC,63,396,,,,,,
2019-08-21 14:57:14 UTC,64,,20.00000,,,,,
2019-08-21 14:57:30 UTC,65,,20.00000,,,,,
2019-08-21 14:57:45 UTC,66,,20.00000,,,,,
2019-08-21 14:58:04 UTC,67,394,,,,,,
2019-08-21 14:58:20 UTC,68,,20.00000,,,,,
2019-08-21 14:58:35 UTC,69,,,82.00000,,,,
2019-08-21 14:58:51 UTC,70,,20.00000,,,,,
2019-08-21 14:59:07 UTC,71,397,,,,,,
2019-08-21 14:59:22 UTC,72,,,81.00000,,,,
2019-08-21 14:59:37 UTC,73,,20.00000,,,,,
2019-08-21 14:59:55 UTC,74,,20.00000,,,,,
2019-08-21 15:00:11 UTC,75,,19.00000,,,,,
2019-08-21 15:00:26 UTC,76,,,83.00000,,,,
2019-08-21 15:00:41 UTC,77,,20.00000,,,,,
2019-08-21 15:00:56 UTC,78,396,,,,,,
2019-08-21 15:01:11 UTC,79,,20.00000,,,,,
2019-08-21 15:01:27 UTC,80,397,,,,,,
2019-08-21 15:01:43 UTC,81,,,81.00000,,,,
2019-08-21 15:01:58 UTC,82,,19.00000,,,,,
2019-08-21 15:02:14 UTC,83,,nan,,,,,
2019-08-21 15:02:30 UTC,84,399,,,,,,
2019-08-21 15:02:46 UTC,85,,,88.00000,,,,
2019-08-21 15:03:02 UTC,86,,,77.00000,,,,
2019-08-21 15:03:17 UTC,87,400,,,,,,
2019-08-21 15:03:33 UTC,88,401,,,,,,
2019-08-21 15:03:49 UTC,89,,20.00000,,,,,
2019-08-21 15:04:04 UTC,90,,20.00000,,,,,
2019-08-21 15:04:20 UTC,91,,20.00000,,,,,
2019-08-21 15:04:36 UTC,92,400,,,,,,
2019-08-21 15:04:51 UTC,93,397,,,,,,
2019-08-21 15:05:15 UTC,94,394,,,,,,
2019-08-21 15:05:32 UTC,95,,20.00000,,,,,
