created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2019-08-21 19:23:09 IST,1,,21.00000,,,,,,
2019-08-21 19:23:24 IST,2,,,84.00000,,,,,
2019-08-21 19:23:39 IST,3,319,,,,,,,
2019-08-21 19:23:55 IST,4,,21.00000,,,,,,
2019-08-21 19:24:10 IST,5,319,,,,,,,
2019-08-21 19:24:26 IST,6,319,,,,,,,
2019-08-21 19:24:42 IST,7,319,,,,,,,
2019-08-21 19:24:57 IST,8,317,,,,,,,
2019-08-21 19:25:13 IST,9,,20.00000,,,,,,
2019-08-21 19:25:29 IST,10,,,83.00000,,,,,
2019-08-21 19:25:44 IST,11,318,,,,,,,
2019-08-21 19:26:00 IST,12,,20.00000,,,,,,
2019-08-21 19:26:15 IST,13,,,82.00000,,,,,
2019-08-21 19:26:30 IST,14,318,,,,,,,
2019-08-21 19:26:45 IST,15,,20.00000,,,,,,
2019-08-21 19:27:00 IST,16,,,85.00000,,,,,
2019-08-21 19:27:16 IST,17,317,,,,,,,
2019-08-21 20:15:49 IST,18,,,23.00000,,,,,
2019-08-21 20:16:04 IST,19,353,,,,,,,
2019-08-21 20:16:20 IST,20,,42.00000,,,,,,
2019-08-21 20:16:35 IST,21,,39.00000,,,,,,
2019-08-21 20:16:50 IST,22,365,,,,,,,
2019-08-21 20:17:06 IST,23,363,,,,,,,
2019-08-21 20:17:21 IST,24,360,,,,,,,
2019-08-21 20:17:36 IST,25,361,,,,,,,
2019-08-21 20:17:52 IST,26,356,,,,,,,
2019-08-21 20:18:07 IST,27,355,,,,,,,
2019-08-21 20:18:22 IST,28,356,,,,,,,
2019-08-21 20:18:37 IST,29,356,,,,,,,
2019-08-21 20:18:53 IST,30,,26.00000,,,,,,
2019-08-21 20:19:09 IST,31,,,68.00000,,,,,
2019-08-21 20:19:24 IST,32,355,,,,,,,
2019-08-21 20:19:39 IST,33,356,,,,,,,
2019-08-21 20:19:55 IST,34,,24.00000,,,,,,
2019-08-21 20:20:10 IST,35,,24.00000,,,,,,
2019-08-21 20:20:26 IST,36,,,80.00000,,,,,
2019-08-21 20:20:42 IST,37,355,,,,,,,
2019-08-21 20:20:57 IST,38,,23.00000,,,,,,
2019-08-21 20:21:12 IST,39,,23.00000,,,,,,
2019-08-21 20:21:28 IST,40,,,81.00000,,,,,
2019-08-21 20:21:44 IST,41,357,,,,,,,
2019-08-21 20:21:59 IST,42,357,,,,,,,
2019-08-21 20:22:15 IST,43,,22.00000,,,,,,
2019-08-21 20:22:30 IST,44,,22.00000,,,,,,
2019-08-21 20:22:46 IST,45,,22.00000,,,,,,
2019-08-21 20:23:01 IST,46,,22.00000,,,,,,
2019-08-21 20:23:16 IST,47,,22.00000,,,,,,
2019-08-21 20:23:31 IST,48,,22.00000,,,,,,
2019-08-21 20:23:47 IST,49,302,,,,,,,
2019-08-21 20:24:02 IST,50,302,,,,,,,
2019-08-21 20:24:17 IST,51,302,,,,,,,
2019-08-21 20:24:33 IST,52,303,,,,,,,
2019-08-21 20:24:48 IST,53,302,,,,,,,
2019-08-21 20:25:04 IST,54,,,80.00000,,,,,
2019-08-21 20:25:20 IST,55,,,79.00000,,,,,
2019-08-21 20:25:35 IST,56,,,79.00000,,,,,
2019-08-21 20:25:50 IST,57,,,80.00000,,,,,
2019-08-21 20:26:06 IST,58,,,79.00000,,,,,
2019-08-21 20:26:21 IST,59,303,,,,,,,
2019-08-21 20:26:37 IST,60,303,,,,,,,
2019-08-21 20:26:53 IST,61,,23.00000,,,,,,
2019-08-21 20:27:08 IST,62,,,84.00000,,,,,
2019-08-21 20:27:23 IST,63,369,,,,,,,
2019-08-21 20:27:39 IST,64,303,,,,,,,
2019-08-21 20:27:54 IST,65,,,67.00000,,,,,
2019-08-21 20:28:09 IST,66,,27.00000,,,,,,
2019-08-21 20:28:25 IST,67,303,,,,,,,
2019-08-21 20:28:40 IST,68,303,,,,,,,
2019-08-21 20:28:56 IST,69,303,,,,,,,
2019-08-21 20:29:11 IST,70,,,87.00000,,,,,
2019-08-21 20:29:26 IST,71,,25.00000,,,,,,
2019-08-21 20:29:41 IST,72,388,,,,,,,
2019-08-21 20:29:57 IST,73,389,,,,,,,
2019-08-21 20:30:12 IST,74,304,,,,,,,
2019-08-21 20:30:27 IST,75,,,83.00000,,,,,
2019-08-21 20:30:43 IST,76,,22.00000,,,,,,
2019-08-21 20:30:59 IST,77,,21.00000,,,,,,
2019-08-21 20:31:14 IST,78,303,,,,,,,
2019-08-21 20:31:30 IST,79,,,88.00000,,,,,
2019-08-21 20:31:45 IST,80,,21.00000,,,,,,
2019-08-21 20:32:00 IST,81,,,86.00000,,,,,
2019-08-21 20:32:16 IST,82,517,,,,,,,
2019-08-21 20:32:31 IST,83,,,87.00000,,,,,
2019-08-21 20:32:50 IST,84,523,,,,,,,
