created_at,value
2019-08-21T19:23:39 IST,319
2019-08-21T19:24:10 IST,319
2019-08-21T19:24:26 IST,319
2019-08-21T19:24:42 IST,319
2019-08-21T19:24:57 IST,317
2019-08-21T19:25:44 IST,318
2019-08-21T19:26:30 IST,318
2019-08-21T19:27:16 IST,317
2019-08-21T20:16:04 IST,353
2019-08-21T20:16:50 IST,365
2019-08-21T20:17:06 IST,363
2019-08-21T20:17:21 IST,360
2019-08-21T20:17:36 IST,361
2019-08-21T20:17:52 IST,356
2019-08-21T20:18:07 IST,355
2019-08-21T20:18:22 IST,356
2019-08-21T20:18:37 IST,356
2019-08-21T20:19:24 IST,355
2019-08-21T20:19:39 IST,356
2019-08-21T20:20:42 IST,355
2019-08-21T20:21:44 IST,357
2019-08-21T20:21:59 IST,357
2019-08-21T20:23:47 IST,302
2019-08-21T20:24:02 IST,302
2019-08-21T20:24:17 IST,302
2019-08-21T20:24:33 IST,303
2019-08-21T20:24:48 IST,302
2019-08-21T20:26:21 IST,303
2019-08-21T20:26:37 IST,303
2019-08-21T20:27:23 IST,369
2019-08-21T20:27:39 IST,303
2019-08-21T20:28:25 IST,303
2019-08-21T20:28:40 IST,303
2019-08-21T20:28:56 IST,303
2019-08-21T20:29:41 IST,388
2019-08-21T20:29:57 IST,389
2019-08-21T20:30:12 IST,304
2019-08-21T20:31:14 IST,303
2019-08-21T20:32:16 IST,517
2019-08-21T20:32:50 IST,523
2019-08-21T20:33:05 IST,516
2019-08-21T20:33:37 IST,240
2019-08-21T20:34:07 IST,513
2019-08-21T20:34:22 IST,516
2019-08-21T20:35:15 IST,517
2019-08-21T20:36:02 IST,237
2019-08-21T20:36:33 IST,537
2019-08-21T20:36:48 IST,533
2019-08-21T20:38:07 IST,532
2019-08-21T20:38:54 IST,468
2019-08-21T20:39:41 IST,483
2019-08-21T20:40:11 IST,483
2019-08-21T20:40:47 IST,484
2019-08-21T20:41:24 IST,484
2019-08-21T20:41:55 IST,486
2019-08-21T20:42:16 IST,485
2019-08-21T20:42:47 IST,487
2019-08-21T20:43:05 IST,487
2019-08-21T20:43:50 IST,475
2019-08-21T20:45:04 IST,499
2019-08-21T20:45:24 IST,478
2019-08-21T20:46:10 IST,469
2019-08-21T20:47:12 IST,470
2019-08-21T20:47:43 IST,471
2019-08-21T20:48:14 IST,473
2019-08-21T20:48:45 IST,474
2019-08-21T20:50:03 IST,475
2019-08-21T20:50:49 IST,477
2019-08-21T20:51:35 IST,477
2019-08-21T20:52:22 IST,480
2019-08-21T20:52:38 IST,478
2019-08-21T20:53:24 IST,480
2019-08-21T20:54:10 IST,481
2019-08-21T20:55:27 IST,481
2019-08-21T20:56:13 IST,483
2019-08-21T20:56:59 IST,483
2019-08-21T20:57:46 IST,356
2019-08-21T20:58:02 IST,357
2019-08-21T20:58:33 IST,361
2019-08-21T20:58:49 IST,361
2019-08-21T21:00:07 IST,366
2019-08-21T21:00:23 IST,366
2019-08-21T21:00:39 IST,370
2019-08-21T21:01:24 IST,403
2019-08-21T21:02:09 IST,408
2019-08-21T21:02:55 IST,411
2019-08-21T21:03:41 IST,414
2019-08-21T21:04:11 IST,414
2019-08-21T21:04:58 IST,416
2019-08-21T21:05:44 IST,418
2019-08-21T21:06:04 IST,416
2019-08-21T21:06:51 IST,426
2019-08-21T21:07:38 IST,424
2019-08-21T21:08:08 IST,426
2019-08-21T21:08:54 IST,427
2019-08-21T21:09:40 IST,427
2019-08-21T21:11:12 IST,426
2019-08-21T21:11:59 IST,427
2019-08-21T21:12:45 IST,427
2019-08-21T21:13:32 IST,428
2019-08-21T21:14:18 IST,427
2019-08-21T21:14:34 IST,428
2019-08-21T21:15:21 IST,428
2019-08-21T21:16:08 IST,428
2019-08-21T21:16:39 IST,428
2019-08-21T21:17:40 IST,428
2019-08-21T21:18:11 IST,429
2019-08-21T21:18:42 IST,429
2019-08-21T21:19:28 IST,429
2019-08-21T21:20:14 IST,429
2019-08-21T21:21:00 IST,429
2019-08-21T21:21:46 IST,426
2019-08-21T21:22:32 IST,423
2019-08-21T21:23:18 IST,424
2019-08-21T21:23:49 IST,416
2019-08-21T21:25:06 IST,417
2019-08-21T21:25:52 IST,423
2019-08-21T21:26:38 IST,423
2019-08-21T21:27:09 IST,422
2019-08-21T21:28:25 IST,424
2019-08-21T21:29:13 IST,425
2019-08-21T21:29:29 IST,426
2019-08-21T21:30:15 IST,426
2019-08-21T21:30:46 IST,426
2019-08-21T21:31:17 IST,426
2019-08-21T21:32:03 IST,427
2019-08-21T21:32:49 IST,427
2019-08-21T21:33:35 IST,427
2019-08-21T21:34:06 IST,427
2019-08-21T21:34:37 IST,428
2019-08-21T21:35:23 IST,428
2019-08-21T21:36:09 IST,428
2019-08-21T21:36:56 IST,428
2019-08-21T21:37:43 IST,429
2019-08-21T21:38:29 IST,430
2019-08-21T21:39:16 IST,430
2019-08-21T21:40:02 IST,429
2019-08-21T21:40:48 IST,432
2019-08-21T21:41:33 IST,432
